Value,AGG_NAME,Value_AGG,NAME,R,G,B
0,No Data,5,No Data,0,0,0
50,Tree-covered areas,4,"Tree cover, broadleaved, evergreen, closed to open (>15%)",0,100,0
60,Tree-covered areas,4,"Tree cover, broadleaved, deciduous, closed to open (>15%)",0,160,0
61,Tree-covered areas,4,"Tree cover, broadleaved, deciduous, closed (>40%)",0,160,0
62,Tree-covered areas,4,"Tree cover, broadleaved, deciduous, open (15-40%)",170,200,0
70,Tree-covered areas,4,"Tree cover, needleleaved, evergreen, closed to open (>15%)",0,60,0
71,Tree-covered areas,4,"Tree cover, needleleaved, evergreen, closed (>40%)",0,60,0
72,Tree-covered areas,4,"Tree cover, needleleaved, evergreen, open (15-40%)",0,80,0
80,Tree-covered areas,4,"Tree cover, needleleaved, deciduous, closed to open (>15%)",40,80,0
81,Tree-covered areas,4,"Tree cover, needleleaved, deciduous, closed (>40%)",40,80,0
82,Tree-covered areas,4,"Tree cover, needleleaved, deciduous, open (15-40%)",40,100,0
90,Tree-covered areas,4,"Tree cover, mixed leaf type (broadleaved and needleleaved)",120,130,0
100,Tree-covered areas,4,Mosiac tree and shrub (>50%) / herbaceous cover (<50%),140,160,0
160,Tree-covered areas,4,"Tree cover, flooded, fresh or brakish water",0,120,90
40,Grassland,6,"Mosiac natural vegetation (tree, shrub, herbaceous cover) (>50%) / cropland (<50%)",200,200,100
110,Grassland,6,Mosiac herbaceous cover (>50%) / tree and shrub (<50%),190,150,0
120,Grassland,6,Shrubland,150,100,0
121,Grassland,6,Evergreen shrubland,120,75,0
122,Grassland,6,Deciduous shrubland,150,100,0
130,Grassland,6,Grassland,255,180,50
140,Grassland,6,Lichens and mosses,255,220,210
150,Grassland,6,"Sparse vegetation (tree, shrub, herbaceous cover) (<15%)",255,235,175
151,Grassland,6,Sparse tree (<15%),255,200,100
152,Grassland,6,Sparse shrub (<15%),255,210,120
153,Grassland,6,Sparse herbaceous cover (<15%),255,235,175
10,Cropland,3,"Cropland, rainfed",255,255,100
11,Cropland,3,Herbaceous cover,255,255,100
12,Cropland,3,Tree or shrub cover,255,255,0
20,Cropland,3,"Cropland, irrigated or post-flooding",170,240,240
30,Cropland,3,"Mosiac cropland (>50%) / natural vegetation (tree, shrub, herbaceous cover) (<50%)",220,240,100
170,Wetland,7,"Tree cover, flooded, saline water",0,150,120
180,Wetland,7,"Shrub or herbaceous cover, flooded, fresh/saline/brakish water",0,220,130
190,Artificial areas,1,Urban areas,195,20,0
200,Other land,2,Bare areas,255,245,215
201,Other land,2,Consolidated bare areas,220,220,220
202,Other land,2,Unconsolidated bare areas,255,245,215
220,Other land,2,Permanent snow and ice,255,255,255
210,Water bodies,7,Water bodies,0,70,200